t,L,v,Omega,E_v,E_Omega,P_drive,P_feedback,P_D,P_Omega,cumulative_drive,cumulative_feedback,cumulative_dissipation
1.8348623853211008,0.018795803551649143,0.04239002287789781,0.0005196903853417966,0.0008984570197943498,1.3503904830835254e-07,0.00159350908512576,2.151859503260962e-10,0.000988302721773785,2.1606247729336407e-07,0.0016494986386657558,8.580940232052875e-11,0.0007511922382401346
1.8557130942452043,0.018812168242573514,0.0426863493196661,0.0005276337174171954,0.0009110622091202792,1.3919866987774442e-07,0.0016060455701256441,2.2355940712453339e-10,0.0010021684300323072,2.227178718043911e-07,0.0016828551300674594,9.038347819053116e-11,0.0007719481799848718
1.8765638031693077,0.018828660531206434,0.04297997813156871,0.0005355748904289768,0.0009236392600950622,1.4342023162900525e-07,0.0016185108357559667,2.3212719895817565e-10,0.0010160031861045685,2.294723706064084e-07,0.0017164722735816549,9.513417258255274e-11,0.0007929930486919119
1.897414512093411,0.01884527968879934,0.04327094535611465,0.0005435132088099399,0.00093618735600593,1.4770330407543863e-07,0.001630906135269467,2.4089022481620455e-10,0.001029806091606523,2.3632528652070183e-07,0.0017503485972996012,1.0006554689212714e-10,0.0008143261916794869
1.9182652210175144,0.018862024998777784,0.043559286613227166,0.0005514479999654723,0.0009487057251266357,1.520474483329598e-07,0.0016432327060552346,2.49849339972963e-10,0.0010435762976392993,2.432759173327357e-07,0.0017844826552783825,1.0518168080360721e-10,0.000835946938035301
1.9391159299416179,0.018878895758666737,0.04384503703693512,0.0005593786210174258,0.0009611936363851061,1.5645222082567843e-07,0.0016554917675103609,2.5900536358562367e-10,0.0010573130000236168,2.503235533210855e-07,0.0018188730271879489,1.1048667145788774e-10,0.0008578545995984116
1.9599666388657213,0.018895891278858754,0.04412823131619954,0.0005673044537220637,0.000973650399548007,1.609171716064446e-07,0.0016676845225584733,2.6835907650195346e-10,0.0010710154395028079,2.5746747457031134e-07,0.0018535183179518024,1.1598463267648217e-10,0.0008800484718935984
1.9808173477898248,0.01891301088131921,0.04440890373753478,0.0005752249001522204,0.0009860753655848153,1.6544184287756596e-07,0.0016798121592309053,2.7791121931130424e-10,0.001084682902143297,2.647069486041055e-07,0.0018884171574199988,1.2167969414242523e-10,0.0009025278350719688
2.0016680567139282,0.018930253899587732,0.04468708818500853,0.0005831393826973002,0.0009984679252273644,1.7002576982629414e-07,0.0016918758507509571,2.876624939744478e-10,0.0010983147177501009,2.720412317220706e-07,0.0019235682000595096,1.27576000577848e-10,0.0009252919548392095
2.0225187656380315,0.018947619678781034,0.04496281814024178,0.0005910473440632781,0.0010108275075562275,1.7466848146212753e-07,0.001703876755614996,2.9761356550188794e-10,0.0011119102583118502,2.7946957033940407e-07,0.00195897012464631,1.336777109560416e-10,0.000948340083351136
2.043369474562135,0.01896510757559733,0.045236126682408874,0.0005989482472727001,0.001023153578613472,1.7936950145551977e-07,0.001715816017670466,3.077650636789468e-10,0.0011254689364748193,2.8699120232883166e-07,0.001994621633959128,1.3998899774900285e-10,0.0009716714600771511
2.0642201834862384,0.018982716958322095,0.04550704648823745,0.0006068415756646814,0.0010354456400413024,1.8412834897759663e-07,0.0017276947661908342,3.1811758483595316e-10,0.0011389902040454328,2.946053583641546e-07,0.0020305214544747794,1.4651404621141836e-10,0.0009952853126322066
2.0850708924103416,0.01900044720683537,0.0457756098320085,0.000614726832894909,0.0010477032277461365,1.8894453954050268e-07,0.001739514115947543,3.286716936619131e-10,0.0011524735505207503,3.023112632648043e-07,0.002066668336065046,1.5325705370201324e-10,0.0010191808575778676
2.1059216013344453,0.019018297712477095,0.04604184859022024,0.0006226035425515768,0.0010599259108023827,1.9381758559888654e-07,0.0017512751674432045,3.394279246731277e-10,0.0011659185018826211,3.101081369582185e-07,0.002103061051696726,1.6022222903911758e-10,0.0010433573011955034
2.1267723102585485,0.01903626787729259,0.04630579426631905,0.0006304712468066246,0.001072113291317333,1.9874699652494987e-07,0.0017629790078488971,3.503867827465044e-10,0.0011793246204490665,3.179951944399198e-07,0.0021396983971438913,1.6741379187710367e-10,0.0010678138402453686
2.147623019182652,0.019054357116280733,0.046567477917804655,0.0006383295128566985,0.001084264999812612,2.03732283491935e-07,0.001774626708500734,3.6154875166863104e-10,0.0011926914997938732,3.25971653587096e-07,0.002176579190683817,1.7483597217751176e-10,0.0010925496626712548
